File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
F:\程式專案\Path\Path working NET 2008\AssemblyInfo.cs,54,14,2,0,5,0,35,77,0,0
F:\程式專案\Path\Path working NET 2008\ClassFractal.cs,286,229,150,18,21,7,36,333,0,0
F:\程式專案\Path\Path working NET 2008\ClassImageGenerator.cs,397,333,195,23,47,7,17,114,0,0
F:\程式專案\Path\Path working NET 2008\ClassMapGenerator.cs,490,451,267,65,14,3,25,168,0,0
F:\程式專案\Path\Path working NET 2008\ClassPathSearcher.cs,461,392,211,68,41,33,28,209,0,0
F:\程式專案\Path\Path working NET 2008\ClassTask.cs,325,298,189,14,21,1,6,21,0,0
F:\程式專案\Path\Path working NET 2008\FormControl.cs,1070,831,734,22,31,12,208,252,0,0
F:\程式專案\Path\Path working NET 2008\FormDebug.cs,97,61,43,2,8,0,28,39,0,0
F:\程式專案\Path\Path working NET 2008\FormDisplay.cs,225,172,114,10,15,3,38,60,0,0
F:\程式專案\Path\Path working NET 2008\FormMapGen.cs,148,65,44,2,11,0,72,274,0,0
F:\程式專案\Path\Path working NET 2008\FormSearchResults.cs,404,300,236,28,20,6,84,190,0,0
